IndustryGroup1,
Financial Services,1
Commerce and Shopping,2
Hardware,3
Information Technology,4
Artificial Intelligence,5
Energy,6
Content and Publishing,7
Data and Analytics,8
Consumer Electronics,9
Education,10
Apps,11
Administrative Services,12
Advertising,13
Gaming,14
Health Care,15
Clothing and Apparel,16
Biotechnology,17
Manufacturing,18
Media and Entertainment,19
Internet Services,20
Other,21
Privacy and Security,22
Agriculture and Farming,23
Design,24
Community and Lifestyle,25
Government and Military,26
Events,27
Food and Beverage,28
Software,29
Consumer Goods,30
Transportation,31
Science and Engineering,32
Real Estate,33
Sales and Marketing,34
Platforms,35
Professional Services,36
Natural Resources,37
Mobile,38
Travel and Tourism,39
Lending and Investments,40
Payments,41
Sports,42
Music and Audio,43
Navigation and Mapping,44
Sustainability,45
Video,46
